id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
ingrabr01,Brandon Ingram*,1,1,0,1.000,1,1,0,1.000,0,0,0,
hartjo01,Josh Hart,1,1,0,1.000,1,1,0,1.000,0,0,0,
willizi01,Zion Williamson,1,1,0,1.000,1,1,0,1.000,0,0,0,
gabriwe01,Wenyen Gabriel*,1,1,0,1.000,1,1,0,1.000,0,0,0,
bledser01,Eric Bledsoe,1,1,0,1.000,1,1,0,1.000,0,0,0,
marshna01,Naji Marshall*,1,1,0,1.000,1,1,0,1.000,0,0,0,
lewiski01,Kira Lewis Jr.*,1,1,0,1.000,1,1,0,1.000,0,0,0,
adamsst01,Steven Adams,1,1,0,1.000,1,1,0,1.000,0,0,0,
mellini01,Nicolò Melli,1,1,0,1.000,1,1,0,1.000,0,0,0,
alexani01,Nickeil Alexander-Walker*,1,1,0,1.000,1,1,0,1.000,0,0,0,
hayesja02,Jaxson Hayes*,1,1,0,1.000,1,1,0,1.000,0,0,0,
