id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
roberma01,Marv Roberts*,5,3,2,.600,5,3,2,.600,0,0,0,
joneswi02,Wil Jones,5,3,2,.600,5,3,2,.600,0,0,0,
thomaro01,Ron Thomas,5,3,2,.600,5,3,2,.600,0,0,0,
gilmoar01,Artis Gilmore*,5,3,2,.600,5,3,2,.600,0,0,0,
averibi01,Bird Averitt,5,3,2,.600,5,3,2,.600,0,0,0,
mcclate01,Ted McClain*,5,3,2,.600,5,3,2,.600,0,0,0,
murphal01,Allen Murphy,4,2,2,.500,4,2,2,.500,0,0,0,
jonesca01,Caldwell Jones*,4,2,2,.500,4,2,2,.500,0,0,0,
conneji01,Jimmy Conner*,3,2,1,.667,3,2,1,.667,0,0,0,
dampilo01,Louie Dampier*,3,3,0,1.000,3,3,0,1.000,0,0,0,
granttr01,Travis Grant*,2,2,0,1.000,2,2,0,1.000,0,0,0,
lucasma01,Maurice Lucas,1,1,0,1.000,1,1,0,1.000,0,0,0,
