id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
peterme01,Mel Peterson*,75,22,53,.293,75,22,53,.293,0,0,0,
jonesst01,Steve Jones*,75,22,53,.293,75,22,53,.293,0,0,0,
anderan01,Andy Anderson*,74,21,53,.284,74,21,53,.284,0,0,0,
franzro01,Ron Franz,73,21,52,.288,73,21,52,.288,0,0,0,
bialowe01,Wes Bialosuknia*,68,19,49,.279,68,19,49,.279,0,0,0,
leeda01,Dave Lee*,54,12,42,.222,54,12,42,.222,0,0,0,
braddga01,Gary Bradds*,49,13,36,.265,49,13,36,.265,0,0,0,
portewi01,Willie Porter*,42,15,27,.357,42,15,27,.357,0,0,0,
tartle01,Levern Tart*,42,15,27,.357,42,15,27,.357,0,0,0,
leiboba01,Barry Leibowitz,34,7,27,.206,34,7,27,.206,0,0,0,
hargeir01,Ira Harge,29,4,25,.138,29,4,25,.138,0,0,0,
salvaal01,Al Salvadori*,16,7,9,.438,16,7,9,.438,0,0,0,
wileyge01,Gene Wiley*,8,4,4,.500,8,4,4,.500,0,0,0,
dabicmi01,Mike Dabich,7,3,4,.429,7,3,4,.429,0,0,0,
moliswa01,Wayne Molis*,5,2,3,.400,5,2,3,.400,0,0,0,
