id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hardeja01,James Harden,332,221,111,.666,281,192,89,.683,51,29,22,.569
greenge01,Gerald Green,293,176,117,.601,265,159,106,.600,28,17,11,.607
morrima02,Markieff Morris,291,125,166,.430,290,125,165,.431,1,0,1,.000
lenal01,Alex Len*,239,95,144,.397,239,95,144,.397,0,0,0,
gordoer01,Eric Gordon,238,152,86,.639,198,130,68,.657,40,22,18,.550
capelca01,Clint Capela*,208,145,63,.697,180,128,52,.711,28,17,11,.607
bledser01,Eric Bledsoe,206,94,112,.456,206,94,112,.456,0,0,0,
dragigo01,Goran Dragić*,198,96,102,.485,198,96,102,.485,0,0,0,
houseda01,Danuel House Jr.,194,118,76,.608,171,106,65,.620,23,12,11,.522
morrima03,Marcus Morris*,180,90,90,.500,180,90,90,.500,0,0,0,
goodwar01,Archie Goodwin,148,61,87,.412,148,61,87,.412,0,0,0,
paulch01,Chris Paul,142,106,36,.746,116,89,27,.767,26,17,9,.654
chandty01,Tyson Chandler,140,49,91,.350,139,48,91,.345,1,1,0,1.000
riverau01,Austin Rivers*,137,88,49,.642,115,77,38,.670,22,11,11,.500
bookede01,Devin Booker,132,38,94,.288,132,38,94,.288,0,0,0,
warretj01,T.J. Warren,130,44,86,.338,130,44,86,.338,0,0,0,
knighbr03,Brandon Knight,129,45,84,.349,129,45,84,.349,0,0,0,
plumlmi01,Miles Plumlee,129,73,56,.566,129,73,56,.566,0,0,0,
dudleja01,Jared Dudley,116,35,81,.302,116,35,81,.302,0,0,0,
hilarne01,Nenê,112,82,30,.732,94,71,23,.755,18,11,7,.611
mclembe01,Ben McLemore,104,56,48,.538,93,52,41,.559,11,4,7,.364
arizatr01,Trevor Ariza,84,62,22,.738,67,51,16,.761,17,11,6,.647
niangge01,Georges Niang,83,53,30,.639,72,46,26,.639,11,7,4,.636
robindu01,Duncan Robinson,83,54,29,.651,70,45,25,.643,13,9,4,.692
meltode01,De'Anthony Melton*,83,53,30,.639,72,46,26,.639,11,7,4,.636
dedmode01,Dewayne Dedmon,82,52,30,.634,67,42,25,.627,15,10,5,.667
harrito02,Tobias Harris,81,51,30,.630,70,44,26,.629,11,7,4,.636
fryech01,Channing Frye,81,48,33,.593,81,48,33,.593,0,0,0,
scolalu01,Luis Scola,79,25,54,.316,79,25,54,.316,0,0,0,
teletmi01,Mirza Teletović,79,23,56,.291,79,23,56,.291,0,0,0,
lowryky01,Kyle Lowry*,79,48,31,.608,61,40,21,.656,18,8,10,.444
strusma01,Max Strus*,79,51,28,.646,61,40,21,.656,18,11,7,.611
anderry01,Ryan Anderson,79,58,21,.734,68,53,15,.779,11,5,6,.455
vincega01,Gabe Vincent*,78,52,26,.667,60,41,19,.683,18,11,7,.611
miltosh01,Shake Milton,75,49,26,.653,69,46,23,.667,6,3,3,.500
mbahalu01,Luc Mbah a Moute,73,58,15,.795,64,53,11,.828,9,5,4,.556
chrisma01,Marquese Chriss,73,27,46,.370,73,27,46,.370,0,0,0,
reedpa01,Paul Reed,73,45,28,.616,62,38,24,.613,11,7,4,.636
barbole01,Leandro Barbosa,73,28,45,.384,73,28,45,.384,0,0,0,
beaslmi01,Michael Beasley,72,24,48,.333,72,24,48,.333,0,0,0,
clarkga01,Gary Clark,71,46,25,.648,69,45,24,.652,2,1,1,.500
herroty01,Tyler Herro*,71,46,25,.648,56,36,20,.643,15,10,5,.667
embiijo01,Joel Embiid,71,45,26,.634,62,40,22,.645,9,5,4,.556
adebaba01,Bam Adebayo*,70,44,26,.629,52,33,19,.635,18,11,7,.611
martica02,Caleb Martin*,69,42,27,.609,52,31,21,.596,17,11,6,.647
smithis01,Ish Smith*,69,39,30,.565,69,39,30,.565,0,0,0,
butleji01,Jimmy Butler*,69,44,25,.638,52,34,18,.654,17,10,7,.588
maxeyty01,Tyrese Maxey,67,43,24,.642,56,36,20,.643,11,7,4,.636
leuerjo01,Jon Leuer,67,22,45,.328,67,22,45,.328,0,0,0,
westbru01,Russell Westbrook*,65,39,26,.600,57,36,21,.632,8,3,5,.375
pricero01,Ronnie Price,64,21,43,.328,64,21,43,.328,0,0,0,
gortama01,Marcin Gortat,59,21,38,.356,59,21,38,.356,0,0,0,
blackta01,Tarik Black,58,45,13,.776,51,40,11,.784,7,5,2,.714
brownsh01,Shannon Brown,57,17,40,.298,57,17,40,.298,0,0,0,
yurtsom01,Omer Yurtseven,56,37,19,.661,47,32,15,.681,9,5,4,.556
harremo01,Montrezl Harrell*,55,33,22,.600,53,31,22,.585,2,2,0,1.000
harteis01,Isaiah Hartenstein*,53,32,21,.604,51,31,20,.608,2,1,1,.500
onealje01,Jermaine O'Neal,52,17,35,.327,52,17,35,.327,0,0,0,
johnswe01,Wesley Johnson,47,14,33,.298,47,14,33,.298,0,0,0,
thybuma01,Matisse Thybulle,47,30,17,.638,47,30,17,.638,0,0,0,
marshke01,Kendall Marshall,47,12,35,.255,47,12,35,.255,0,0,0,
telfase01,Sebastian Telfair,44,16,28,.364,44,16,28,.364,0,0,0,
connapa01,Pat Connaughton,43,32,11,.744,20,16,4,.800,23,16,7,.696
holidjr01,Jrue Holiday,43,32,11,.744,20,16,4,.800,23,16,7,.696
lopezbr01,Brook Lopez,43,32,11,.744,20,16,4,.800,23,16,7,.696
middlkh01,Khris Middleton,42,31,11,.738,19,15,4,.789,23,16,7,.696
thomais02,Isaiah Thomas*,42,23,19,.548,42,23,19,.548,0,0,0,
sefolth01,Thabo Sefolosha,41,27,14,.659,41,27,14,.659,0,0,0,
wrighbr03,Brandan Wright,41,18,23,.439,41,18,23,.439,0,0,0,
carrode01,DeMarre Carroll,40,22,18,.550,28,16,12,.571,12,6,6,.500
ennisja01,James Ennis III,40,23,17,.575,40,23,17,.575,0,0,0,
forbebr01,Bryn Forbes,39,28,11,.718,19,15,4,.789,20,13,7,.650
portibo01,Bobby Portis,39,29,10,.744,19,15,4,.789,20,14,6,.700
antetgi01,Giannis Antetokounmpo,38,27,11,.711,17,13,4,.765,21,14,7,.667
bendedr01,Dragan Bender,38,11,27,.289,38,11,27,.289,0,0,0,
weemsso01,Sonny Weems,36,6,30,.167,36,6,30,.167,0,0,0,
ulisty01,Tyler Ulis,36,9,27,.250,36,9,27,.250,0,0,0,
oladivi01,Victor Oladipo*,36,17,19,.472,21,8,13,.381,15,9,6,.600
