id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
smithgr01,Greg Smith,57,49,8,.860,48,41,7,.854,9,8,1,.889
mcglojo01,Jon McGlocklin,56,48,8,.857,47,40,7,.851,9,8,1,.889
abdulka01,Kareem Abdul-Jabbar,56,48,8,.857,47,40,7,.851,9,8,1,.889
dandrbo01,Bob Dandridge,55,48,7,.873,46,40,6,.870,9,8,1,.889
roberos01,Oscar Robertson,55,48,7,.873,46,40,6,.870,9,8,1,.889
mclemmc01,McCoy McLemore,44,38,6,.864,36,31,5,.861,8,7,1,.875
cunnidi01,Dick Cunningham*,38,33,5,.868,29,25,4,.862,9,8,1,.889
boozebo01,Bob Boozer*,37,33,4,.892,28,25,3,.893,9,8,1,.889
allenlu01,Lucius Allen,36,29,7,.806,27,21,6,.778,9,8,1,.889
vanardi01,Dick Van Arsdale,27,17,10,.630,27,17,10,.630,0,0,0,
laytomo01,Mo Layton,27,17,10,.630,27,17,10,.630,0,0,0,
walkne01,Neal Walk,27,17,10,.630,27,17,10,.630,0,0,0,
mooreot01,Otto Moore,27,17,10,.630,27,17,10,.630,0,0,0,
countme01,Mel Counts,26,17,9,.654,26,17,9,.654,0,0,0,
haskicl01,Clem Haskins,26,16,10,.615,26,16,10,.615,0,0,0,
silaspa01,Paul Silas,26,17,9,.654,26,17,9,.654,0,0,0,
hawkico01,Connie Hawkins,26,16,10,.615,26,16,10,.615,0,0,0,
greenla01,Lamar Green,25,16,9,.640,25,16,9,.640,0,0,0,
kimbato01,Toby Kimball,19,16,3,.842,19,16,3,.842,0,0,0,
blockjo01,John Block,19,16,3,.842,19,16,3,.842,0,0,0,
dinwibi01,Bill Dinwiddie,17,15,2,.882,17,15,2,.882,0,0,0,
wetzejo01,John Wetzel,16,11,5,.688,16,11,5,.688,0,0,0,
zopfbi01,Bill Zopf,14,13,1,.929,14,13,1,.929,0,0,0,
greacbo01,Bob Greacen*,9,7,2,.778,2,1,1,.500,7,6,1,.857
nelsoba01,Barry Nelson,9,9,0,1.000,9,9,0,1.000,0,0,0,
winklma01,Marv Winkler,8,7,1,.875,3,2,1,.667,5,5,0,1.000
lowerch01,Charlie Lowery,7,6,1,.857,7,6,1,.857,0,0,0,
scottch01,Charlie Scott,4,3,1,.750,4,3,1,.750,0,0,0,
freemga01,Gary Freeman,2,2,0,1.000,2,2,0,1.000,0,0,0,
