id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnsja01,James Johnson,11,2,9,.182,11,2,9,.182,0,0,0,
greenjo02,Josh Green,11,2,9,.182,11,2,9,.182,0,0,0,
caulewi01,Willie Cauley-Stein,11,2,9,.182,11,2,9,.182,0,0,0,
burketr01,Trey Burke,11,2,9,.182,11,2,9,.182,0,0,0,
marjabo01,Boban Marjanović,11,2,9,.182,11,2,9,.182,0,0,0,
hardati02,Tim Hardaway Jr.,10,2,8,.200,10,2,8,.200,0,0,0,
iwundwe01,Wes Iwundu,10,2,8,.200,10,2,8,.200,0,0,0,
doncilu01,Luka Dončić,10,2,8,.200,10,2,8,.200,0,0,0,
brunsja01,Jalen Brunson,8,1,7,.125,8,1,7,.125,0,0,0,
porzikr01,Kristaps Porziņģis,6,1,5,.167,6,1,5,.167,0,0,0,
richajo01,Josh Richardson*,6,1,5,.167,6,1,5,.167,0,0,0,
finnedo01,Dorian Finney-Smith,6,1,5,.167,6,1,5,.167,0,0,0,
hintona01,Nate Hinton,6,1,5,.167,6,1,5,.167,0,0,0,
poweldw01,Dwight Powell,6,1,5,.167,6,1,5,.167,0,0,0,
klebima01,Maxi Kleber,4,1,3,.250,4,1,3,.250,0,0,0,
beyty01,Tyler Bey,4,1,3,.250,4,1,3,.250,0,0,0,
banede01,Desmond Bane*,2,2,0,1.000,2,2,0,1.000,0,0,0,
jacksja02,Jaren Jackson Jr.*,2,2,0,1.000,2,2,0,1.000,0,0,0,
tilliki02,Killian Tillie,2,2,0,1.000,2,2,0,1.000,0,0,0,
jonesty01,Tyus Jones*,2,2,0,1.000,2,2,0,1.000,0,0,0,
adamsst01,Steven Adams,2,2,0,1.000,2,2,0,1.000,0,0,0,
clarkbr01,Brandon Clarke*,2,2,0,1.000,2,2,0,1.000,0,0,0,
anderky01,Kyle Anderson*,2,2,0,1.000,2,2,0,1.000,0,0,0,
moranja01,Ja Morant*,2,2,0,1.000,2,2,0,1.000,0,0,0,
ponsyv01,Yves Pons,1,1,0,1.000,1,1,0,1.000,0,0,0,
buchash01,Shaq Buchanan,1,1,0,1.000,1,1,0,1.000,0,0,0,
tillmxa01,Xavier Tillman Sr.*,1,1,0,1.000,1,1,0,1.000,0,0,0,
konchjo01,John Konchar,1,1,0,1.000,1,1,0,1.000,0,0,0,
aldamsa01,Santi Aldama,1,1,0,1.000,1,1,0,1.000,0,0,0,
mathida01,Dakota Mathias,1,1,0,1.000,1,1,0,1.000,0,0,0,
sneedxa01,Xavier Sneed,1,1,0,1.000,1,1,0,1.000,0,0,0,
