id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
monrogr01,Greg Monroe,215,79,136,.367,215,79,136,.367,0,0,0,
drumman01,Andre Drummond*,195,73,122,.374,195,73,122,.374,0,0,0,
jerebjo01,Jonas Jerebko,159,54,105,.340,159,54,105,.340,0,0,0,
stuckro01,Rodney Stuckey,149,51,98,.342,149,51,98,.342,0,0,0,
westbru01,Russell Westbrook*,139,78,61,.561,132,75,57,.568,7,3,4,.429
caldwke01,Kentavious Caldwell-Pope*,134,49,85,.366,134,49,85,.366,0,0,0,
adamsst01,Steven Adams,132,74,58,.561,125,71,54,.568,7,3,4,.429
kanteen01,Enes Freedom,128,75,53,.586,121,72,49,.595,7,3,4,.429
bynumwi01,Will Bynum,121,43,78,.355,121,43,78,.355,0,0,0,
jennibr01,Brandon Jennings,121,45,76,.372,121,45,76,.372,0,0,0,
roberan03,Andre Roberson,114,68,46,.596,107,65,42,.607,7,3,4,.429
augusdj01,D.J. Augustin,106,54,52,.509,106,54,52,.509,0,0,0,
morroan01,Anthony Morrow,106,61,45,.575,100,58,42,.580,6,3,3,.500
smithjo03,Josh Smith,105,33,72,.314,105,33,72,.314,0,0,0,
waitedi01,Dion Waiters,96,59,37,.615,90,56,34,.622,6,3,3,.500
villach01,Charlie Villanueva,89,31,58,.348,89,31,58,.348,0,0,0,
collini01,Nick Collison,84,47,37,.560,80,46,34,.575,4,1,3,.250
ibakase01,Serge Ibaka,80,51,29,.637,74,48,26,.649,6,3,3,.500
knighbr03,Brandon Knight,75,29,46,.387,75,29,46,.387,0,0,0,
maxieja01,Jason Maxiell,72,24,48,.333,72,24,48,.333,0,0,0,
duranke01,Kevin Durant*,64,43,21,.672,58,40,18,.690,6,3,3,.500
payneca01,Cameron Payne,61,40,21,.656,57,38,19,.667,4,2,2,.500
butleca01,Caron Butler,50,19,31,.380,50,19,31,.380,0,0,0,
princta01,Tayshaun Prince,45,17,28,.378,45,17,28,.378,0,0,0,
mcgarmi01,Mitch McGary,44,30,14,.682,44,30,14,.682,0,0,0,
engliki01,Kim English,41,13,28,.317,41,13,28,.317,0,0,0,
grantje01,Jerami Grant,41,17,24,.415,40,17,23,.425,1,0,1,.000
abrinal01,Álex Abrines,40,17,23,.425,39,17,22,.436,1,0,1,.000
datomlu01,Gigi Datome,37,10,27,.270,37,10,27,.270,0,0,0,
sabondo01,Domantas Sabonis*,33,15,18,.455,32,15,17,.469,1,0,1,.000
meeksjo01,Jodie Meeks,32,18,14,.562,32,18,14,.562,0,0,0,
harrejo01,Josh Harrellson,32,12,20,.375,32,12,20,.375,0,0,0,
anthojo01,Joel Anthony,31,16,15,.516,31,16,15,.516,0,0,0,
foyera01,Randy Foye,30,15,15,.500,24,12,12,.500,6,3,3,.500
chrisse01,Semaj Christon,28,14,14,.500,27,14,13,.519,1,0,1,.000
caldejo01,José Calderón,28,7,21,.250,28,7,21,.250,0,0,0,
middlkh01,Khris Middleton,27,9,18,.333,27,9,18,.333,0,0,0,
kravtvi01,Viacheslav Kravtsov,25,8,17,.320,25,8,17,.320,0,0,0,
lauvejo01,Joffrey Lauvergne,24,11,13,.458,24,11,13,.458,0,0,0,
oladivi01,Victor Oladipo*,24,11,13,.458,23,11,12,.478,1,0,1,.000
sivape01,Peyton Siva,24,9,15,.375,24,9,15,.375,0,0,0,
tollian01,Anthony Tolliver*,24,14,10,.583,24,14,10,.583,0,0,0,
dayeau01,Austin Daye,24,12,12,.500,24,12,12,.500,0,0,0,
mitchto02,Tony Mitchell,21,6,15,.286,21,6,15,.286,0,0,0,
novakst01,Steve Novak,19,13,6,.684,19,13,6,.684,0,0,0,
billuch01,Chauncey Billups,19,7,12,.368,19,7,12,.368,0,0,0,
maggeco01,Corey Maggette,18,7,11,.389,18,7,11,.389,0,0,0,
huestjo01,Josh Huestis,18,7,11,.389,17,6,11,.353,1,1,0,1.000
dinwisp01,Spencer Dinwiddie,16,4,12,.250,16,4,12,.250,0,0,0,
martica01,Cartier Martin,15,3,12,.200,15,3,12,.200,0,0,0,
feltora01,Raymond Felton,12,5,7,.417,12,5,7,.417,0,0,0,
pattepa01,Patrick Patterson,12,5,7,.417,12,5,7,.417,0,0,0,
fergute01,Terrance Ferguson,11,4,7,.364,11,4,7,.364,0,0,0,
lambje01,Jeremy Lamb,11,8,3,.727,11,8,3,.727,0,0,0,
jonespe01,Perry Jones,11,6,5,.545,11,6,5,.545,0,0,0,
georgpa01,Paul George*,10,4,6,.400,10,4,6,.400,0,0,0,
anthoca01,Carmelo Anthony*,9,3,6,.333,9,3,6,.333,0,0,0,
johnsda04,Dakari Johnson,8,4,4,.500,8,4,4,.500,0,0,0,
mohamna01,Nazr Mohammed,7,6,1,.857,4,4,0,1.000,3,2,1,.667
lucasjo02,John Lucas III,6,3,3,.500,6,3,3,.500,0,0,0,
gibsota01,Taj Gibson,5,1,4,.200,4,1,3,.250,1,0,1,.000
coleno01,Norris Cole,4,1,3,.250,4,1,3,.250,0,0,0,
mcderdo01,Doug McDermott*,3,0,3,.000,2,0,2,.000,1,0,1,.000
hamilda02,Daniel Hamilton,3,2,1,.667,3,2,1,.667,0,0,0,
ilyaser01,Ersan İlyasova,3,3,0,1.000,3,3,0,1.000,0,0,0,
doziepj01,PJ Dozier,2,1,1,.500,2,1,1,.500,0,0,0,
