id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
frazimi01,Michael Frazier,2,1,1,.500,2,1,1,.500,0,0,0,
clemoch01,Chris Clemons,2,1,1,.500,2,1,1,.500,0,0,0,
sefolth01,Thabo Sefolosha,2,1,1,.500,2,1,1,.500,0,0,0,
covinro01,Robert Covington*,2,1,1,.500,2,1,1,.500,0,0,0,
houseda01,Danuel House Jr.,2,1,1,.500,2,1,1,.500,0,0,0,
harteis01,Isaiah Hartenstein*,2,1,1,.500,2,1,1,.500,0,0,0,
mclembe01,Ben McLemore,2,1,1,.500,2,1,1,.500,0,0,0,
tuckepj01,P.J. Tucker,2,1,1,.500,2,1,1,.500,0,0,0,
hardeja01,James Harden,2,1,1,.500,2,1,1,.500,0,0,0,
riverau01,Austin Rivers*,2,1,1,.500,2,1,1,.500,0,0,0,
gordoer01,Eric Gordon,1,0,1,.000,1,0,1,.000,0,0,0,
westbru01,Russell Westbrook*,1,1,0,1.000,1,1,0,1.000,0,0,0,
