id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
koufoko01,Kosta Koufos,136,80,56,.588,127,76,51,.598,9,4,5,.444
randoza01,Zach Randolph,129,80,49,.620,120,76,44,.633,9,4,5,.444
gasolma01,Marc Gasol,119,75,44,.630,110,71,39,.645,9,4,5,.444
leeco01,Courtney Lee,114,73,41,.640,105,69,36,.657,9,4,5,.444
conlemi01,Mike Conley*,114,69,45,.605,108,66,42,.611,6,3,3,.500
allento01,Tony Allen,94,55,39,.585,86,51,35,.593,8,4,4,.500
leuerjo01,Jon Leuer,89,48,41,.539,85,47,38,.553,4,1,3,.250
princta01,Tayshaun Prince,76,44,32,.579,76,44,32,.579,0,0,0,
udrihbe01,Beno Udrih,74,45,29,.608,66,42,24,.636,8,3,5,.375
millemi01,Mike Miller,71,42,29,.592,71,42,29,.592,0,0,0,
davised01,Ed Davis,54,32,22,.593,54,32,22,.593,0,0,0,
greenje02,Jeff Green,53,32,21,.604,44,28,16,.636,9,4,5,.444
cartevi01,Vince Carter,52,30,22,.577,43,26,17,.605,9,4,5,.444
johnsja01,James Johnson,47,30,17,.638,47,30,17,.638,0,0,0,
adamsjo01,Jordan Adams,27,10,17,.370,23,9,14,.391,4,1,3,.250
greenja01,JaMychal Green,24,7,17,.292,19,6,13,.316,5,1,4,.200
pondequ01,Quincy Pondexter,20,8,12,.400,20,8,12,.400,0,0,0,
bayleje01,Jerryd Bayless,20,6,14,.300,20,6,14,.300,0,0,0,
frankja01,Jamaal Franklin,19,9,10,.474,19,9,10,.474,0,0,0,
stokeja01,Jarnell Stokes,13,7,6,.538,13,7,6,.538,0,0,0,
smithru01,Russ Smith,8,3,5,.375,6,3,3,.500,2,0,2,.000
morrida01,Darius Morris,5,3,2,.600,5,3,2,.600,0,0,0,
thomaty01,Tyrus Thomas,2,2,0,1.000,2,2,0,1.000,0,0,0,
curryse01,Seth Curry*,1,1,0,1.000,1,1,0,1.000,0,0,0,
