id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
braunch01,Christian Braun,17,13,4,.765,17,13,4,.765,0,0,0,
brownbr01,Bruce Brown*,17,13,4,.765,17,13,4,.765,0,0,0,
cancavl01,Vlatko Čančar,16,13,3,.812,16,13,3,.812,0,0,0,
jokicni01,Nikola Jokić,15,12,3,.800,15,12,3,.800,0,0,0,
caldwke01,Kentavious Caldwell-Pope*,15,11,4,.733,15,11,4,.733,0,0,0,
smithis01,Ish Smith*,14,11,3,.786,14,11,3,.786,0,0,0,
gordoaa01,Aaron Gordon,12,10,2,.833,12,10,2,.833,0,0,0,
nnajize01,Zeke Nnaji,12,10,2,.833,12,10,2,.833,0,0,0,
reedda01,Davon Reed,11,9,2,.818,11,9,2,.818,0,0,0,
portemi01,Michael Porter Jr.,10,7,3,.700,10,7,3,.700,0,0,0,
murraja01,Jamal Murray,10,7,3,.700,10,7,3,.700,0,0,0,
watsope01,Peyton Watson,9,7,2,.778,9,7,2,.778,0,0,0,
greenje02,Jeff Green,8,5,3,.625,8,5,3,.625,0,0,0,
jordade01,DeAndre Jordan,8,6,2,.750,8,6,2,.750,0,0,0,
hylanbo01,Bones Hyland,7,5,2,.714,7,5,2,.714,0,0,0,
bryanth01,Thomas Bryant,5,3,2,.600,5,3,2,.600,0,0,0,
jacksre01,Reggie Jackson*,3,1,2,.333,3,1,2,.333,0,0,0,
