id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bookede01,Devin Booker,5,2,3,.400,5,2,3,.400,0,0,0,
bridgmi01,Mikal Bridges,5,2,3,.400,5,2,3,.400,0,0,0,
paulch01,Chris Paul,3,2,1,.667,3,2,1,.667,0,0,0,
smithja04,Jalen Smith,3,2,1,.667,3,2,1,.667,0,0,0,
johnsca02,Cameron Johnson,3,2,1,.667,3,2,1,.667,0,0,0,
shamela01,Landry Shamet,3,2,1,.667,3,2,1,.667,0,0,0,
payneca01,Cameron Payne,3,2,1,.667,3,2,1,.667,0,0,0,
holmeri01,Richaun Holmes,2,0,2,.000,2,0,2,.000,0,0,0,
bendedr01,Dragan Bender,2,0,2,.000,2,0,2,.000,0,0,0,
crawfja01,Jamal Crawford,2,0,2,.000,2,0,2,.000,0,0,0,
wainris01,Ish Wainright,2,1,1,.500,2,1,1,.500,0,0,0,
jacksjo02,Josh Jackson,2,0,2,.000,2,0,2,.000,0,0,0,
walkemj01,M.J. Walker,2,1,1,.500,2,1,1,.500,0,0,0,
danietr01,Troy Daniels,2,0,2,.000,2,0,2,.000,0,0,0,
okoboel01,Elie Okobo,2,0,2,.000,2,0,2,.000,0,0,0,
paytoel01,Elfrid Payton,2,1,1,.500,2,1,1,.500,0,0,0,
oubreke01,Kelly Oubre Jr.*,2,0,2,.000,2,0,2,.000,0,0,0,
mcgruro01,Rodney McGruder,1,0,1,.000,1,0,1,.000,0,0,0,
mcgeeja01,JaVale McGee,1,1,0,1.000,1,1,0,1.000,0,0,0,
olynyke01,Kelly Olynyk,1,0,1,.000,1,0,1,.000,0,0,0,
basspa01,Paris Bass,1,1,0,1.000,1,1,0,1.000,0,0,0,
biyombi01,Bismack Biyombo*,1,1,0,1.000,1,1,0,1.000,0,0,0,
waitedi01,Dion Waiters,1,0,1,.000,1,0,1,.000,0,0,0,
anderry01,Ryan Anderson,1,0,1,.000,1,0,1,.000,0,0,0,
jonesde02,Derrick Jones Jr.*,1,0,1,.000,1,0,1,.000,0,0,0,
adebaba01,Bam Adebayo*,1,0,1,.000,1,0,1,.000,0,0,0,
whiteha01,Hassan Whiteside*,1,0,1,.000,1,0,1,.000,0,0,0,
hutchch01,Chandler Hutchison*,1,1,0,1.000,1,1,0,1.000,0,0,0,
richajo01,Josh Richardson*,1,0,1,.000,1,0,1,.000,0,0,0,
robindu01,Duncan Robinson,1,0,1,.000,1,0,1,.000,0,0,0,
dragigo01,Goran Dragić*,1,0,1,.000,1,0,1,.000,0,0,0,
wadedw01,Dwyane Wade,1,0,1,.000,1,0,1,.000,0,0,0,
