id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
stutzst01,Stan Stutz*,56,30,26,.536,51,28,23,.549,5,2,3,.400
byrneto01,Tommy Byrnes*,56,30,26,.536,51,28,23,.549,5,2,3,.400
hertzso01,Sonny Hertzberg*,54,28,26,.519,49,26,23,.531,5,2,3,.400
gottlle01,Leo Gottlieb*,51,26,25,.510,47,25,22,.532,4,1,3,.250
schecos01,Ossie Schectman*,43,23,20,.535,43,23,20,.535,0,0,0,
palmebu01,Bud Palmer,43,19,24,.442,38,17,21,.447,5,2,3,.400
fitzgbo01,Bob Fitzgerald*,31,15,16,.484,26,13,13,.500,5,2,3,.400
militna01,Nat Militzok*,30,16,14,.533,30,16,14,.533,0,0,0,
freyfr01,Frido Frey,25,13,12,.520,21,11,10,.524,4,2,2,.500
rosenha01,Hank Rosenstein*,24,15,9,.625,24,15,9,.625,0,0,0,
knorele01,Lee Knorek,24,14,10,.583,19,12,7,.632,5,2,3,.400
kaplora01,Ralph Kaplowitz,22,14,8,.636,22,14,8,.636,0,0,0,
mullebo01,Bob Mullens*,18,11,7,.611,18,11,7,.611,0,0,0,
vanbrbu01,Butch van Breda Kolff*,16,7,9,.438,11,5,6,.455,5,2,3,.400
brindau01,Aud Brindley*,11,3,8,.273,8,2,6,.250,3,1,2,.333
murphdi01,Dick Murphy*,10,7,3,.700,10,7,3,.700,0,0,0,
murphjo01,John Murphy*,7,1,6,.143,7,1,6,.143,0,0,0,
mangifr01,Frank Mangiapane*,3,1,2,.333,3,1,2,.333,0,0,0,
weberja01,Jake Weber*,2,2,0,1.000,2,2,0,1.000,0,0,0,
