id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
martisl01,Slater Martin*,138,83,55,.601,119,72,47,.605,19,11,8,.579
harribo02,Bob Harrison*,137,82,55,.599,119,72,47,.605,18,10,8,.556
mikange01,George Mikan*,136,83,53,.610,117,72,45,.615,19,11,8,.579
mikkeve01,Vern Mikkelsen*,135,82,53,.607,116,71,45,.612,19,11,8,.579
pollaji01,Jim Pollard*,122,74,48,.607,105,64,41,.610,17,10,7,.588
schulho01,Howie Schultz*,71,42,29,.592,60,35,25,.583,11,7,4,.636
hitchle01,Lew Hitch*,68,42,26,.618,56,34,22,.607,12,8,4,.667
ferriar01,Arnie Ferrin*,66,40,26,.606,59,37,22,.627,7,3,4,.429
jarosto01,Tony Jaros*,60,35,25,.583,53,32,21,.604,7,3,4,.429
grantbu01,Bud Grant*,59,33,26,.559,53,31,22,.585,6,2,4,.333
osheake01,Kevin O'Shea*,57,34,23,.596,53,33,20,.623,4,1,3,.250
saulpe01,Pep Saul*,37,22,15,.595,25,14,11,.560,12,8,4,.667
skoogwh01,Whitey Skoog*,30,17,13,.567,30,17,13,.567,0,0,0,
beached01,Ed Beach,11,6,5,.545,11,6,5,.545,0,0,0,
pilchjo01,John Pilch,9,6,3,.667,9,6,3,.667,0,0,0,
