id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
kerrre01,Red Kerr*,230,102,128,.443,220,98,122,.445,10,4,6,.400
walkech01,Chet Walker,171,82,89,.480,163,78,85,.479,8,4,4,.500
greerha01,Hal Greer,169,80,89,.473,161,76,85,.472,8,4,4,.500
biancal01,Al Bianchi,161,77,84,.478,153,73,80,.477,8,4,4,.500
gambeda01,Dave Gambee*,139,67,72,.482,131,63,68,.481,8,4,4,.500
neumapa01,Paul Neumann,137,63,74,.460,132,61,71,.462,5,2,3,.400
costela01,Larry Costello,126,61,65,.484,118,57,61,.483,8,4,4,.500
loughke01,Kevin Loughery,112,34,78,.304,110,34,76,.309,2,0,2,.000
dierkco01,Connie Dierking,111,46,65,.414,107,44,63,.411,4,2,2,.500
eganjo01,Johnny Egan*,108,34,74,.315,106,34,72,.321,2,0,2,.000
greenjo01,Johnny Green*,102,32,70,.314,100,32,68,.320,2,0,2,.000
ohldo01,Don Ohl,101,31,70,.307,99,31,68,.313,2,0,2,.000
ferrybo01,Bob Ferry,93,29,64,.312,91,29,62,.319,2,0,2,.000
chubist01,Steve Chubin,87,31,56,.356,87,31,56,.356,0,0,0,
daviswa02,Warren Davis*,81,30,51,.370,81,30,51,.370,0,0,0,
johnsgu01,Gus Johnson,78,19,59,.244,77,19,58,.247,1,0,1,.000
congdje01,Jeff Congdon*,73,36,37,.493,64,33,31,.516,9,3,6,.333
selvale01,Les Selvage*,70,23,47,.329,70,23,47,.329,0,0,0,
shaffle01,Lee Shaffer,70,35,35,.500,66,33,33,.500,4,2,2,.500
buncela01,Larry Bunce*,63,22,41,.349,63,22,41,.349,0,0,0,
bedelbo01,Bob Bedell*,63,20,43,.317,63,20,43,.317,0,0,0,
jackslu01,Luke Jackson,63,30,33,.476,61,29,32,.475,2,1,1,.500
ellisle01,Leroy Ellis,62,14,48,.226,62,14,48,.226,0,0,0,
jonesla01,Larry Jones*,62,35,27,.565,52,31,21,.596,10,4,6,.400
marinja01,Jack Marin,57,12,45,.211,57,12,45,.211,0,0,0,
howelba01,Bailey Howell,55,21,34,.382,53,21,32,.396,2,0,2,.000
hightwa01,Wayne Hightower*,53,14,39,.264,53,14,39,.264,0,0,0,
faircjo01,John Fairchild*,53,17,36,.321,53,17,36,.321,0,0,0,
schaydo01,Dolph Schayes*,52,27,25,.519,50,26,24,.520,2,1,1,.500
